molregno,canonical_smiles,pref_name,first_approval,dosed_ingredient,full_mwt,logp,pic50,target_type,organism,target_name,assay_type,confidence_score,is_marketed,target_count,total_measurements,target_density,murcko_scaffold,scaffold_label,murcko_similarity,has_benzo_five_ring
473362,O=C(Cn1c(=O)n(-c2ccccn2)c2ccccc21)Nc1ccc2c(c1)CC1(C2)C(=O)Nc2ccccc21,,,0,501.55,3.81,6.2839966563652006,SINGLE PROTEIN,Homo sapiens,Calcitonin gene-related peptide type 1 receptor,B,9,0,1,1,1.0,O=C(Cn1c(=O)n(-c2ccccn2)c2ccccc21)Nc1ccc2c(c1)CC1(C2)C(=O)Nc2ccccc21,1,1.0,True
502608,C=C[C@]12CN(C)[C@@H]3[C@H]4CO[C@H](C[C@H]41)[C@]1(C(=O)Nc4ccccc41)[C@@H]32,GELSEMINE,,0,322.41,2.03,6.229147988357856,SINGLE PROTEIN,Homo sapiens,Glycine receptor subunit alpha-1,B,9,0,1,1,1.0,O=C1Nc2ccccc2[C@]12[C@@H]1C3CN[C@@H]1[C@H]1CO[C@@H]2C[C@@H]31,1,1.0,True
609121,Oc1ccc2c3c1O[C@H]1C4(CC[C@@]5(O)[C@@H](C2)N(CC2CC2)CC[C@]315)Oc1ccccc1O4,,,0,433.5,3.12,8.05395269865476,SINGLE PROTEIN,Homo sapiens,"Delta-type opioid receptor, Mu-type opioid receptor",B,8,0,2,2,1.0,c1ccc2c(c1)OC1(CCC3[C@H]4Cc5cccc6c5[C@@]3(CCN4CC3CC3)[C@H]1O6)O2,1,0.944,True
609124,O=C1[C@@H]2Oc3c(O)ccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)[C@]3(O)CC12Cc1ccccc1C2,,,0,443.54,2.92,8.198529817528115,SINGLE PROTEIN,Homo sapiens,"Mu-type opioid receptor, Delta-type opioid receptor, Kappa-type opioid receptor",B,8,0,3,4,0.75,O=C1[C@@H]2Oc3cccc4c3[C@@]23CCN(CC2CC2)[C@H](C4)C3CC12Cc1ccccc1C2,1,1.0,True
609902,C=CC[N+]12CC[C@@]34c5ccccc5N5[C@@H]6OCC=C7C[N+]8(CC=C)CC[C@]9%10c%11ccccc%11N([C@@H]%11OCC=C(C1)[C@H](C[C@@H]32)[C@@H]%11[C@H]54)[C@H]9[C@H]6[C@H]7C[C@@H]%108.[Br-].[Br-],DIALLYLCARACURIE V,,0,826.72,5.67,7.950007143079858,SINGLE PROTEIN,Homo sapiens,Muscarinic acetylcholine receptor M2,B,9,0,1,1,1.0,C1=C2C[NH+]3CC[C@]45c6ccccc6N6[C@@H]7OCC=C8C[NH+]9CC[C@]%10%11c%12ccccc%12N([C@H](OC1)[C@@H]([C@H]64)[C@H]2C[C@H]35)[C@H]%10[C@H]7[C@H]8C[C@H]9%11,0,0.944,True
609903,C[N+]12CC[C@@]34c5ccccc5N5[C@@H]6OCC=C7C[N+]8(C)CC[C@]9%10c%11ccccc%11N([C@@H]%11OCC=C(C1)[C@H](C[C@@H]32)[C@@H]%11[C@H]54)[C@H]9[C@H]6[C@H]7C[C@@H]%108.[Cl-].[Cl-],DIMETHYLCARACURIE V,,0,685.74,4.56,8.090016305060155,SINGLE PROTEIN,Homo sapiens,Muscarinic acetylcholine receptor M2,B,9,0,1,1,1.0,C1=C2C[NH+]3CC[C@]45c6ccccc6N6[C@@H]7OCC=C8C[NH+]9CC[C@]%10%11c%12ccccc%12N([C@H](OC1)[C@@H]([C@H]64)[C@H]2C[C@H]35)[C@H]%10[C@H]7[C@H]8C[C@H]9%11,1,0.944,True
654243,C=CC[N+]12CC[C@@]34c5ccccc5N5/C=C6/[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/[C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,,,0,666.91,5.48,5.834097130997717,SINGLE PROTEIN,Homo sapiens,Neuronal acetylcholine receptor subunit alpha-7,B,9,0,1,4,0.25,C=C1C[NH+]2CC[C@]34c5ccccc5N5/C=C6\[C@@H]7N(/C=C(\[C@H]53)[C@H]1C[C@H]24)c1ccccc1[C@@]71CC[NH+]2CC(=C)[C@@H]6C[C@H]21,0,0.944,True
1148541,CCCCCN1C(=O)C2(CCc3cc4c(cc32)OCO4)c2ccccc21,,,0,349.43,4.18,6.356547323513812,SINGLE PROTEIN,Homo sapiens,Sodium channel protein type 9 subunit alpha,B,9,0,1,1,1.0,O=C1Nc2ccccc2C12CCc1cc3c(cc12)OCO3,1,1.0,True
1148543,CCCCCN1C(=O)C2(OCc3cc4c(cc32)OCO4)c2ccccc21,,,0,351.4,3.73,5.928117992693875,SINGLE PROTEIN,Homo sapiens,Sodium channel protein type 9 subunit alpha,B,9,0,1,1,1.0,O=C1Nc2ccccc2C12OCc1cc3c(cc12)OCO3,1,1.0,True
1148540,CCCCCN1C(=O)C2(COc3cc4c(cc32)OCO4)c2ccccc21,,,0,351.4,3.63,8.522878745280337,SINGLE PROTEIN,Homo sapiens,Sodium channel protein type 9 subunit alpha,B,9,0,1,2,0.5,O=C1Nc2ccccc2C12COc1cc3c(cc12)OCO3,1,1.0,True
1249194,CC[C@@H]1CN2CC[C@]3(C(=O)Nc4ccccc43)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,CORYNOXINE B,,0,384.48,2.7,6.959397659885927,SINGLE PROTEIN,Homo sapiens,Mu-type opioid receptor,B,9,0,1,1,1.0,O=C1Nc2ccccc2[C@@]12CCN1CCCC[C@H]12,1,1.0,True
1249195,CC[C@@H]1CN2CC[C@@]3(C(=O)Nc4ccccc43)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,CORYNOXINE,,0,384.48,2.7,7.785156151952302,SINGLE PROTEIN,Homo sapiens,Mu-type opioid receptor,B,9,0,1,1,1.0,O=C1Nc2ccccc2[C@]12CCN1CCCC[C@H]12,1,1.0,True
